Game title,Length,Date,Location,Players
Runebound (Second Edition),220,2016-01-15,Home,2
Bruges,60,2016-01-14,Home,2
Ticket to Ride: Nordic Countries,40,2016-01-11,Home,2
Twilight Struggle,360,2016-01-10,Home,2
Colt Express,50,2016-01-09,Engineer pub,5
Colt Express,40,2016-01-09,Engineer pub,5
Five Tribes,80,2016-01-09,Engineer pub,3
Power Grid,180,2016-01-09,Engineer pub,5
Tajemnicze Domostwo,50,2016-01-09,Engineer pub,5
Catan,90,2016-01-08,Dima's home,4
Dungeoneer: Tomb of the Lich Lord,65,2016-01-08,Dima's home,3
Theseus: The Dark Orbit,75,2016-01-08,Dima's home,4
BattleLore (Second Edition),60,2016-01-07,Home,2
BattleLore (Second Edition),130,2016-01-07,Home,2
Machi Koro,105,2016-01-07,Home,4
Eldritch Horror,75,2016-01-06,Home,2
Bruges,40,2016-01-05,Home,2
Bruges,55,2016-01-05,Home,2
BattleLore (Second Edition),90,2016-01-03,Home,2
BattleLore (Second Edition),90,2016-01-03,Home,2
BattleLore (Second Edition),90,2016-01-02,Home,2
Arkham Horror,130,2016-01-01,Dima's home,5
